transaction_id,posting_date,document_date,amount,vendor_name,invoice_number,debit_account,credit_account,narration,is_manual_entry,gst_amount,gstin
TXN-000025,2025-12-05,2025-12-02,3701.4,VENDOR_0016,INV-2025-1035,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0016,False,666.25,27ABCDE5345F1Z5
TXN-000026,2025-11-19,2025-11-18,1144.72,VENDOR_0188,INV-2025-3536,Capital Expenditure,Accounts Payable,Payment for capital expenditure to VENDOR_0188,False,206.05,27ABCDE5861F1Z5
TXN-000027,2025-07-21,2025-07-20,6937.29,VENDOR_0015,INV-2025-9238,Vendor Advances,Accounts Payable,Payment for vendor advances to VENDOR_0015,False,1248.71,27ABCDE1931F1Z5
TXN-000028,2025-12-17,2025-12-17,1699.89,VENDOR_0153,INV-2025-7615,Vendor Advances,ICICI Bank Account,Payment for vendor advances to VENDOR_0153,False,305.98,27ABCDE5033F1Z5
TXN-000029,2026-01-22,2026-01-21,8194.52,VENDOR_0108,INV-2025-5272,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0108,False,1475.01,27ABCDE6147F1Z5
TXN-000030,2025-08-01,2025-08-01,2820.94,VENDOR_0166,INV-2025-6180,Operating Expenses,Accounts Payable,Payment for operating expenses to VENDOR_0166,False,507.77,27ABCDE1152F1Z5
TXN-000031,2025-11-21,2025-11-19,8697.17,VENDOR_0026,INV-2025-9288,Vendor Advances,ICICI Bank Account,Payment for vendor advances to VENDOR_0026,False,1565.49,27ABCDE3170F1Z5
TXN-000032,2025-09-26,2025-09-26,3572.78,VENDOR_0140,INV-2025-9666,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0140,False,643.10,27ABCDE5905F1Z5
TXN-000033,2026-03-06,2026-03-05,8874.18,VENDOR_0073,INV-2025-6617,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0073,False,1597.35,27ABCDE5325F1Z5
TXN-000034,2025-12-15,2025-12-15,3829.94,VENDOR_0014,INV-2025-5533,Vendor Advances,Accounts Payable,Payment for vendor advances to VENDOR_0014,False,689.39,27ABCDE1058F1Z5
TXN-000035,2025-09-18,2025-09-18,22880.55,VENDOR_0068,INV-2025-8007,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0068,False,4118.50,27ABCDE2832F1Z5
TXN-000036,2025-05-09,2025-05-07,2692.76,VENDOR_0111,INV-2025-6050,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0111,False,484.70,27ABCDE1653F1Z5
TXN-000037,2025-10-01,2025-09-30,2218.76,VENDOR_0027,INV-2025-3532,Operating Expenses,Accounts Payable,Payment for operating expenses to VENDOR_0027,False,399.38,27ABCDE3662F1Z5
TXN-000038,2025-06-30,2025-06-29,10190.83,VENDOR_0106,INV-2025-5371,Rent Expense,ICICI Bank Account,Payment for rent expense to VENDOR_0106,False,1834.35,27ABCDE2771F1Z5
TXN-000039,2025-10-13,2025-10-12,218.02,VENDOR_0118,INV-2025-4728,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0118,False,39.24,27ABCDE1387F1Z5
TXN-000040,2026-03-04,2026-03-01,1918.99,VENDOR_0018,INV-2025-9346,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0018,False,345.42,27ABCDE9785F1Z5
TXN-000041,2025-09-17,2025-09-15,17967.45,VENDOR_0028,INV-2025-6663,Capital Expenditure,Accounts Payable,Payment for capital expenditure to VENDOR_0028,False,3234.14,27ABCDE8149F1Z5
TXN-000042,2026-02-05,2026-02-04,13567.72,VENDOR_0012,INV-2025-1027,Rent Expense,Accounts Payable,Payment for rent expense to VENDOR_0012,False,2442.19,27ABCDE6967F1Z5
TXN-000043,2025-11-07,2025-11-05,2952.79,VENDOR_0032,INV-2025-9308,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0032,False,531.50,27ABCDE7691F1Z5
TXN-000044,2025-09-15,2025-09-14,3695.01,VENDOR_0033,INV-2025-7211,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0033,False,665.10,27ABCDE5930F1Z5
TXN-000045,2025-10-25,2025-10-22,2276.88,VENDOR_0149,INV-2025-8618,Capital Expenditure,SBI Corporate Account,Payment for capital expenditure to VENDOR_0149,False,409.84,27ABCDE8244F1Z5
TXN-000046,2026-03-12,2026-03-10,1605.56,VENDOR_0189,INV-2025-5649,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0189,False,289.00,27ABCDE2530F1Z5
TXN-000047,2025-07-30,2025-07-29,7775.9,VENDOR_0051,INV-2025-1757,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0051,False,1399.66,27ABCDE8784F1Z5
TXN-000048,2026-02-07,2026-02-04,3054.17,VENDOR_0050,INV-2025-9099,Rent Expense,Accounts Payable,Payment for rent expense to VENDOR_0050,False,549.75,27ABCDE4997F1Z5
TXN-000049,2025-06-15,2025-06-12,46477.74,VENDOR_0028,INV-2025-3881,Professional Fees,ICICI Bank Account,Payment for professional fees to VENDOR_0028,False,8365.99,27ABCDE1822F1Z5
TXN-000050,2026-01-11,2026-01-08,3129.59,VENDOR_0171,INV-2025-8251,Capital Expenditure,SBI Corporate Account,Payment for capital expenditure to VENDOR_0171,False,563.33,27ABCDE9976F1Z5
TXN-000051,2025-11-15,2025-11-12,4580.77,VENDOR_0064,INV-2025-9540,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0064,False,824.54,27ABCDE4919F1Z5
TXN-000052,2025-08-19,2025-08-19,3190.36,VENDOR_0061,INV-2025-6238,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0061,False,574.26,27ABCDE3267F1Z5
TXN-000053,2025-06-17,2025-06-14,806.21,VENDOR_0181,INV-2025-7797,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0181,False,145.12,27ABCDE6421F1Z5
TXN-000054,2026-01-03,2025-12-31,4560.52,VENDOR_0108,INV-2025-7232,Professional Fees,HDFC Current Account,Payment for professional fees to VENDOR_0108,False,820.89,27ABCDE1096F1Z5
TXN-000055,2025-09-28,2025-09-27,2490.83,VENDOR_0108,INV-2025-8999,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0108,False,448.35,27ABCDE5471F1Z5
TXN-000056,2025-11-10,2025-11-07,4682.72,VENDOR_0172,INV-2025-3704,Rent Expense,Accounts Payable,Payment for rent expense to VENDOR_0172,False,842.89,27ABCDE3091F1Z5
TXN-000057,2026-02-13,2026-02-10,10454.4,VENDOR_0152,INV-2025-2375,Capital Expenditure,HDFC Current Account,Payment for capital expenditure to VENDOR_0152,False,1881.79,27ABCDE3223F1Z5
TXN-000058,2025-11-23,2025-11-21,2027.18,VENDOR_0084,INV-2025-6355,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0084,False,364.89,27ABCDE7211F1Z5
TXN-000059,2025-08-21,2025-08-21,107654.17,VENDOR_0065,INV-2025-1317,Vendor Advances,Accounts Payable,Payment for vendor advances to VENDOR_0065,False,19377.75,27ABCDE6733F1Z5
TXN-000060,2025-07-24,2025-07-23,20188.75,VENDOR_0167,INV-2025-5051,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0167,False,3633.98,27ABCDE1333F1Z5
TXN-000061,2026-02-13,2026-02-11,2166.8,VENDOR_0172,INV-2025-8619,Vendor Advances,ICICI Bank Account,Payment for vendor advances to VENDOR_0172,False,390.02,27ABCDE7043F1Z5
TXN-000062,2025-06-25,2025-06-23,37158.84,VENDOR_0042,INV-2025-1420,Operating Expenses,HDFC Current Account,Payment for operating expenses to VENDOR_0042,False,6688.59,27ABCDE7149F1Z5
TXN-000063,2025-10-21,2025-10-21,15048.47,VENDOR_0063,INV-2025-2983,Vendor Advances,SBI Corporate Account,Payment for vendor advances to VENDOR_0063,False,2708.72,27ABCDE6688F1Z5
TXN-000064,2025-12-29,2025-12-26,3888.39,VENDOR_0130,INV-2025-1207,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0130,False,699.91,27ABCDE9031F1Z5
TXN-000065,2025-05-25,2025-05-24,3965.7,VENDOR_0118,INV-2025-8135,Rent Expense,ICICI Bank Account,Payment for rent expense to VENDOR_0118,False,713.83,27ABCDE9548F1Z5
TXN-000066,2026-02-28,2026-02-26,416.65,VENDOR_0138,INV-2025-8136,Professional Fees,Accounts Payable,Payment for professional fees to VENDOR_0138,False,75.00,27ABCDE6280F1Z5
TXN-000067,2025-08-04,2025-08-04,13891.28,VENDOR_0119,INV-2025-6511,Capital Expenditure,Accounts Payable,Payment for capital expenditure to VENDOR_0119,False,2500.43,27ABCDE9098F1Z5
TXN-000068,2025-09-14,2025-09-14,2140.27,VENDOR_0067,INV-2025-5526,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0067,False,385.25,27ABCDE9464F1Z5
TXN-000069,2025-07-07,2025-07-07,4459.4,VENDOR_0177,INV-2025-8342,Professional Fees,Accounts Payable,Payment for professional fees to VENDOR_0177,False,802.69,27ABCDE2524F1Z5
TXN-000070,2025-08-29,2025-08-27,765.45,VENDOR_0079,INV-2025-8753,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0079,False,137.78,27ABCDE7971F1Z5
TXN-000071,2026-01-07,2026-01-07,1521.9,VENDOR_0070,INV-2025-4777,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0070,False,273.94,27ABCDE4155F1Z5
TXN-000072,2025-09-09,2025-09-08,909.2,VENDOR_0196,INV-2025-4138,Rent Expense,ICICI Bank Account,Payment for rent expense to VENDOR_0196,False,163.66,27ABCDE8933F1Z5
TXN-000073,2025-08-20,2025-08-18,5275.01,VENDOR_0026,INV-2025-4727,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0026,False,949.50,27ABCDE3939F1Z5
TXN-000074,2025-09-02,2025-09-02,7065.86,VENDOR_0033,INV-2025-2680,Rent Expense,Accounts Payable,Payment for rent expense to VENDOR_0033,False,1271.85,27ABCDE5658F1Z5
TXN-000075,2025-11-27,2025-11-27,4598.73,VENDOR_0014,INV-2025-2869,Operating Expenses,Accounts Payable,Payment for operating expenses to VENDOR_0014,False,827.77,27ABCDE7565F1Z5
TXN-000076,2025-12-08,2025-12-08,461.18,VENDOR_0014,INV-2025-5978,Raw Material Purchases,ICICI Bank Account,Payment for raw material purchases to VENDOR_0014,False,83.01,27ABCDE5066F1Z5
TXN-000077,2025-05-31,2025-05-28,6031.63,VENDOR_0153,INV-2025-9561,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0153,False,1085.69,27ABCDE8381F1Z5
TXN-000078,2025-11-13,2025-11-12,1783.17,VENDOR_0110,INV-2025-2625,Operating Expenses,HDFC Current Account,Payment for operating expenses to VENDOR_0110,False,320.97,27ABCDE4457F1Z5
TXN-000079,2025-08-14,2025-08-14,7272.08,VENDOR_0045,INV-2025-3564,Capital Expenditure,HDFC Current Account,Payment for capital expenditure to VENDOR_0045,False,1308.97,27ABCDE7693F1Z5
TXN-000080,2025-11-17,2025-11-14,10254.14,VENDOR_0009,INV-2025-5632,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0009,False,1845.75,27ABCDE2166F1Z5
TXN-000081,2026-03-18,2026-03-18,2330.43,VENDOR_Z03,INV-2025-7965,Rent Expense,ICICI Bank Account,Payment for rent expense to VENDOR_Z03,False,419.48,27ABCDE9922F1Z5
TXN-000082,2025-07-25,2025-07-23,135724.37,VENDOR_0037,INV-2025-3718,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0037,False,24430.39,27ABCDE5728F1Z5
TXN-000083,2025-11-11,2025-11-08,409.94,VENDOR_0180,INV-2025-9199,Professional Fees,SBI Corporate Account,Payment for professional fees to VENDOR_0180,False,73.79,27ABCDE8172F1Z5
TXN-000084,2025-05-12,2025-05-12,30490.35,VENDOR_0189,INV-2025-1423,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0189,False,5488.26,27ABCDE4750F1Z5
TXN-000085,2026-03-12,2026-03-11,25036.59,VENDOR_0006,INV-2025-1659,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0006,False,4506.59,27ABCDE8708F1Z5
TXN-000086,2025-12-22,2025-12-22,202065.08,VENDOR_0047,INV-2025-9056,Capital Expenditure,Accounts Payable,Payment for capital expenditure to VENDOR_0047,False,36371.71,27ABCDE8700F1Z5
TXN-000087,2025-09-26,2025-09-23,3722.31,VENDOR_0027,INV-2025-7744,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0027,False,670.02,27ABCDE5722F1Z5
TXN-000088,2026-03-06,2026-03-03,5938.25,VENDOR_0081,INV-2025-2899,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0081,False,1068.88,27ABCDE9431F1Z5
TXN-000089,2025-04-01,2025-03-30,9992.37,VENDOR_0106,INV-2025-9494,Vendor Advances,ICICI Bank Account,Payment for vendor advances to VENDOR_0106,False,1798.63,27ABCDE9167F1Z5
TXN-000090,2026-02-15,2026-02-12,4333.76,VENDOR_0069,INV-2025-5719,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0069,False,780.08,27ABCDE8941F1Z5
TXN-000091,2025-06-02,2025-06-02,41075.17,VENDOR_0080,INV-2025-7684,Capital Expenditure,HDFC Current Account,Payment for capital expenditure to VENDOR_0080,False,7393.53,27ABCDE4681F1Z5
TXN-000092,2025-05-29,2025-05-27,4492.08,VENDOR_0040,INV-2025-9337,Professional Fees,SBI Corporate Account,Payment for professional fees to VENDOR_0040,False,808.57,27ABCDE7807F1Z5
TXN-000093,2025-12-04,2025-12-02,5832.55,VENDOR_0154,INV-2025-2143,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0154,False,1049.86,27ABCDE7798F1Z5
TXN-000094,2025-09-22,2025-09-21,30212.77,VENDOR_0001,INV-2025-9022,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0001,False,5438.30,27ABCDE8316F1Z5
TXN-000095,2026-01-01,2025-12-30,4683.08,VENDOR_0196,INV-2025-8460,Capital Expenditure,Accounts Payable,Payment for capital expenditure to VENDOR_0196,False,842.95,27ABCDE4090F1Z5
TXN-000096,2026-03-24,2026-03-21,2056.09,VENDOR_0199,INV-2025-6213,Professional Fees,HDFC Current Account,Payment for professional fees to VENDOR_0199,False,370.10,27ABCDE7246F1Z5
TXN-000097,2025-10-15,2025-10-12,7108.83,VENDOR_0010,INV-2025-2644,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0010,False,1279.59,27ABCDE2633F1Z5
TXN-000098,2025-12-26,2025-12-24,10813.36,VENDOR_0160,INV-2025-2315,Rent Expense,Accounts Payable,Payment for rent expense to VENDOR_0160,False,1946.40,27ABCDE9742F1Z5
TXN-000099,2025-10-12,2025-10-10,23333.41,VENDOR_0139,INV-2025-4846,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0139,False,4200.01,27ABCDE4727F1Z5
TXN-000100,2025-05-17,2025-05-16,4226.92,VENDOR_0163,INV-2025-8269,Rent Expense,HDFC Current Account,Payment for rent expense to VENDOR_0163,False,760.85,27ABCDE5906F1Z5
TXN-000101,2025-04-15,2025-04-14,2488.82,VENDOR_0038,INV-2025-3950,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0038,False,447.99,27ABCDE3868F1Z5
TXN-000102,2025-05-11,2025-05-10,7080.16,VENDOR_0175,INV-2025-3344,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0175,False,1274.43,27ABCDE8555F1Z5
TXN-000103,2026-02-21,2026-02-20,2489.6,VENDOR_0003,INV-2025-9955,Professional Fees,SBI Corporate Account,Payment for professional fees to VENDOR_0003,False,448.13,27ABCDE2210F1Z5
TXN-000104,2025-11-13,2025-11-13,10110.23,VENDOR_0078,INV-2025-8916,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0078,False,1819.84,27ABCDE4886F1Z5
TXN-000105,2025-10-13,2025-10-11,6962.04,VENDOR_0180,INV-2025-7484,Operating Expenses,HDFC Current Account,Payment for operating expenses to VENDOR_0180,False,1253.17,27ABCDE1132F1Z5
TXN-000106,2026-01-15,2026-01-14,100645.54,VENDOR_0074,INV-2025-4588,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0074,False,18116.20,27ABCDE5106F1Z5
TXN-000107,2026-03-14,2026-03-12,47225.22,VENDOR_0175,INV-2025-1645,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0175,False,8500.54,27ABCDE8222F1Z5
TXN-000108,2025-04-18,2025-04-17,9064.0,VENDOR_0024,INV-2025-7807,Operating Expenses,SBI Corporate Account,Payment for operating expenses to VENDOR_0024,False,1631.52,27ABCDE4289F1Z5
TXN-000109,2025-06-07,2025-06-05,2823.44,VENDOR_0070,INV-2025-8894,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0070,False,508.22,27ABCDE6549F1Z5
TXN-000110,2025-05-29,2025-05-29,4580.2,VENDOR_0194,INV-2025-6992,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0194,False,824.44,27ABCDE7464F1Z5
TXN-000111,2025-04-08,2025-04-06,2826.31,VENDOR_0095,INV-2025-7242,Rent Expense,SBI Corporate Account,Payment for rent expense to VENDOR_0095,False,508.74,27ABCDE2775F1Z5
TXN-000112,2026-03-12,2026-03-10,29836.65,VENDOR_0157,INV-2025-8606,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0157,False,5370.60,27ABCDE7689F1Z5
TXN-000113,2025-05-30,2025-05-27,2222.14,VENDOR_0025,INV-2025-7367,Raw Material Purchases,ICICI Bank Account,Payment for raw material purchases to VENDOR_0025,False,399.99,27ABCDE7078F1Z5
TXN-000114,2026-03-10,2026-03-07,6005.96,VENDOR_0187,INV-2025-2622,Raw Material Purchases,Accounts Payable,Payment for raw material purchases to VENDOR_0187,False,1081.07,27ABCDE7686F1Z5
TXN-000115,2025-08-22,2025-08-22,1066.12,VENDOR_0114,INV-2025-6942,Professional Fees,ICICI Bank Account,Payment for professional fees to VENDOR_0114,False,191.90,27ABCDE7018F1Z5
TXN-000116,2026-01-04,2026-01-04,50427.26,VENDOR_0016,INV-2025-4109,Professional Fees,SBI Corporate Account,Payment for professional fees to VENDOR_0016,False,9076.91,27ABCDE8450F1Z5
TXN-000117,2025-05-17,2025-05-16,12521.58,VENDOR_0153,INV-2025-6464,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0153,False,2253.88,27ABCDE3063F1Z5
TXN-000118,2026-01-15,2026-01-13,6436.89,VENDOR_0060,INV-2025-1046,Operating Expenses,ICICI Bank Account,Payment for operating expenses to VENDOR_0060,False,1158.64,27ABCDE3370F1Z5
TXN-000119,2025-06-06,2025-06-06,7412.26,VENDOR_0029,INV-2025-3159,Rent Expense,HDFC Current Account,Payment for rent expense to VENDOR_0029,False,1334.21,27ABCDE6869F1Z5
TXN-000120,2025-07-31,2025-07-31,5918.56,VENDOR_0068,INV-2025-7897,Vendor Advances,ICICI Bank Account,Payment for vendor advances to VENDOR_0068,False,1065.34,27ABCDE2041F1Z5
TXN-000121,2025-11-30,2025-11-29,4159.25,VENDOR_0152,INV-2025-9254,Vendor Advances,Accounts Payable,Payment for vendor advances to VENDOR_0152,False,748.66,27ABCDE1710F1Z5
TXN-000122,2026-03-04,2026-03-01,5332.01,VENDOR_0008,INV-2025-7580,Vendor Advances,Accounts Payable,Payment for vendor advances to VENDOR_0008,False,959.76,27ABCDE2768F1Z5
TXN-000123,2025-12-08,2025-12-07,10783.95,VENDOR_0021,INV-2025-2076,Operating Expenses,ICICI Bank Account,Payment for operating expenses to VENDOR_0021,False,1941.11,27ABCDE5505F1Z5
TXN-000124,2026-02-14,2026-02-11,9014.38,VENDOR_0084,INV-2025-8433,Professional Fees,SBI Corporate Account,Payment for professional fees to VENDOR_0084,False,1622.59,27ABCDE2624F1Z5
TXN-000125,2026-03-26,2026-03-23,493.29,VENDOR_0197,INV-2025-8046,Capital Expenditure,ICICI Bank Account,Payment for capital expenditure to VENDOR_0197,False,88.79,27ABCDE4743F1Z5
TXN-000126,2025-10-29,2025-10-26,2679.18,VENDOR_0107,INV-2025-6120,Rent Expense,HDFC Current Account,Payment for rent expense to VENDOR_0107,False,482.25,27ABCDE6120F1Z5
TXN-000127,2026-03-07,2026-03-07,10214.3,VENDOR_0024,INV-2025-8075,Vendor Advances,HDFC Current Account,Payment for vendor advances to VENDOR_0024,False,1838.57,27ABCDE7105F1Z5
TXN-000128,2025-06-06,2025-06-03,6506.92,VENDOR_0144,INV-2025-3002,Capital Expenditure,SBI Corporate Account,Payment for capital expenditure to VENDOR_0144,False,1171.25,27ABCDE6793F1Z5
TXN-000129,2026-03-07,2026-03-05,23711.15,VENDOR_0185,INV-2025-6119,Vendor Advances,SBI Corporate Account,Payment for vendor advances to VENDOR_0185,False,4268.01,27ABCDE2697F1Z5
TXN-000130,2026-01-21,2026-01-19,5004.3,VENDOR_0124,INV-2025-6736,Raw Material Purchases,HDFC Current Account,Payment for raw material purchases to VENDOR_0124,False,900.77,27ABCDE2882F1Z5
TXN-000131,2025-08-21,2025-08-21,10843.22,VENDOR_0144,INV-2025-5381,Capital Expenditure,HDFC Current Account,Payment for capital expenditure to VENDOR_0144,False,1951.78,27ABCDE3955F1Z5
TXN-000132,2025-08-18,2025-08-17,8990.0,VENDOR_0087,INV-2025-3972,Operating Expenses,HDFC Current Account,Payment for operating expenses to VENDOR_0087,False,1618.20,27ABCDE7566F1Z5
TXN-000133,2025-05-06,2025-05-03,658.66,VENDOR_0008,INV-2025-7163,Vendor Advances,ICICI Bank Account,Payment for vendor advances to VENDOR_0008,False,118.56,27ABCDE8432F1Z5
TXN-000134,2025-09-22,2025-09-21,1764.18,VENDOR_0084,INV-2025-1861,Capital Expenditure,HDFC Current Account,Payment for capital expenditure to VENDOR_0084,False,317.55,27ABCDE3579F1Z5
TXN-000135,2026-02-11,2026-02-10,4010.53,VENDOR_0156,INV-2025-5475,Professional Fees,Accounts Payable,Payment for professional fees to VENDOR_0156,False,721.90,27ABCDE9394F1Z5
TXN-000136,2025-05-29,2025-05-27,3434.12,VENDOR_0174,INV-2025-9633,Rent Expense,Accounts Payable,Payment for rent expense to VENDOR_0174,False,618.14,27ABCDE1744F1Z5
TXN-000137,2025-07-22,2025-07-21,2869.44,VENDOR_0002,INV-2025-4460,Raw Material Purchases,SBI Corporate Account,Payment for raw material purchases to VENDOR_0002,False,516.50,27ABCDE5186F1Z5
